dv,n_y2,mse_full,mse_driving,mse_demo,mse_baseline,alpha_full,alpha_driving,alpha_demo,l1_ratio_full,l1_ratio_driving,l1_ratio_demo,t_driving_vs_baseline,p_driving_vs_baseline,perm_p_driving_vs_baseline,mean_diff_driving_vs_baseline,t_demo_vs_baseline,p_demo_vs_baseline,perm_p_demo_vs_baseline,mean_diff_demo_vs_baseline,t_full_vs_demo,p_full_vs_demo,perm_p_full_vs_demo,mean_diff_full_vs_demo,t_full_vs_driving,p_full_vs_driving,perm_p_full_vs_driving,mean_diff_full_vs_driving,p_driving_vs_baseline_fdr,perm_p_driving_vs_baseline_fdr,p_demo_vs_baseline_fdr,perm_p_demo_vs_baseline_fdr,p_full_vs_demo_fdr,perm_p_full_vs_demo_fdr,p_full_vs_driving_fdr,perm_p_full_vs_driving_fdr
LIFESATISFACTION,2704,0.3451328607790496,0.38053490734548445,0.3549253954363419,0.39995992765699057,0.016935850038081325,0.013984065582580106,0.0208793074991284,0.1,0.1,0.1,-5.503869687517837,2.032148197541742e-08,9.999000099990002e-05,-0.019425020311506128,-9.56171781896303,1.2540169121451843e-21,9.999000099990002e-05,-0.04503453222064861,-3.836014172218047,6.395336433276311e-05,0.00019998000199980003,-0.009792534657292356,-8.52773916375525,1.2225462298382616e-17,9.999000099990002e-05,-0.035402046566434836,3.3752610667543004e-07,0.0012411601552687445,4.669774406910862e-20,0.0004654350582257792,0.0011907645786295707,0.0037234804658062334,4.55258221804836e-16,0.0006205800776343723
cog,2702,0.3903540502865478,0.407273920792071,0.3894767397264126,0.42815105240177553,0.0007888240911709526,0.002588866631600695,0.0007514930119848915,0.7,0.99,0.7,-6.125750540023868,5.170092096615008e-10,9.999000099990002e-05,-0.020877131609704544,-9.251678788450853,2.1802607698303946e-20,9.999000099990002e-05,-0.03867431267536282,0.5178338214384651,0.6976916859477327,0.6999300069993001,0.0008773105601351041,-5.157677974814757,1.3406697300935253e-07,0.00019998000199980003,-0.016919870505523175,1.717434839284678e-08,0.0012411601552687445,4.059485101332909e-19,0.0004654350582257792,1.0,1.0,8.320761244760112e-07,0.0008274401035124964
phys,2690,0.3932813278367923,0.4140966213476947,0.4130450007506444,0.43444084752963535,0.0015788396372982438,0.02347479800111163,0.0037416575730519594,0.99,0.1,0.9,-4.905399014145307,4.939763784020166e-07,9.999000099990002e-05,-0.020344226181940723,-5.6631453610062445,8.218673393115479e-09,9.999000099990002e-05,-0.021395846778990955,-4.937541071002066,4.197643500571977e-07,9.999000099990002e-05,-0.019763672913852098,-6.005035679199108,1.0853286306800718e-09,9.999000099990002e-05,-0.020815293510902333,5.469742938149631e-06,0.0012411601552687445,6.121026008218067e-08,0.0004654350582257792,1.5631406561155933e-05,0.0037234804658062334,1.0104010188282517e-08,0.0006205800776343723
fati,2700,0.57144710194851,0.5849699511003734,0.5814269154260823,0.5922511850361469,0.0102892735890409,0.03355103336753375,0.007862078926551355,0.1,0.1,0.99,-3.0399833932577662,0.001194312373619356,0.0015998400159984002,-0.007281233935773503,-4.705692446644658,1.3288100780587638e-06,9.999000099990002e-05,-0.010824269610064679,-3.5843699230471735,0.0001719392588158382,0.00029997000299970003,-0.009979813477572208,-5.32064512475707,5.594223603168118e-08,9.999000099990002e-05,-0.013522849151863381,0.007934689135559517,0.011915137490579947,7.068990211793006e-06,0.0004654350582257792,0.0021342549758437543,0.0037234804658062334,4.1664130611958843e-07,0.0006205800776343723
socialrole,2659,0.4267742281750952,0.43048832367975515,0.4311275162912716,0.43654210116359615,0.003591989397040512,0.01650581249700116,0.006468032973561823,0.99,0.1,0.99,-2.1701277651845055,0.015042729692047988,0.016298370162983702,-0.006053777483841042,-3.720655302623808,0.00010141109639682005,0.00019998000199980003,-0.005414584872324499,-1.7227946122925144,0.042520993862846475,0.043795620437956206,-0.004353288116176443,-2.9308495008530766,0.001704596456430599,0.0017998200179982,-0.0037140955046599004,0.08328319743723737,0.10115455265440268,0.0003776399966731973,0.0007446960931612467,0.3958548066099477,0.40772111100578257,0.005770605737056928,0.006092968034955654
iso,2687,0.4006512500385676,0.40663545596831574,0.4018721614690934,0.40993849137543414,0.008403792160815955,0.058192335400550424,0.0034427146046396794,0.5,0.1,0.99,-1.757222413545834,0.0394969111843116,0.0402959704029597,-0.0033030354071184043,-3.3424761052905825,0.0004208607278271887,0.0005999400059994001,-0.008066329906340769,-0.6617962332154467,0.2540792950112678,0.25677432256774324,-0.0012209114305256695,-2.7976369691545604,0.002592241572713882,0.0029997000299970002,-0.005984205929748034,0.1640042625074359,0.187570328464989,0.0013060195046328499,0.0018617402329031167,1.0,1.0,0.008044271728947361,0.009308701164515583
info,2695,0.628860134408877,0.6648929189565167,0.6288163865215529,0.6693453650476747,0.0019979375497926354,0.001593231440652942,0.0014126831160149842,0.7,0.99,0.99,-1.1506312570099904,0.12499304402617546,0.12478752124787522,-0.0044524460911579385,-6.5206771396870895,4.16371115365663e-11,9.999000099990002e-05,-0.04052897852612175,0.015042470753016277,0.5060002943461881,0.5043495650434956,4.374788732403628e-05,-6.518043704249221,4.2362948474761914e-11,9.999000099990002e-05,-0.03603278454763977,0.3774636619219038,0.4224457837569254,3.876261873903647e-10,0.0004654350582257792,1.0,1.0,5.258446162694798e-10,0.0006205800776343723
emo,2698,0.5202077636560913,0.5363101465766625,0.5201827869546545,0.5407636897610526,0.007560304946368582,0.026002155585970962,0.0074269770699694725,0.3,0.1,0.1,-1.4697586439363621,0.07087188636240511,0.06869313068693131,-0.004453543184390055,-4.789851135611016,8.796702323143973e-07,9.999000099990002e-05,-0.020580902806398176,0.01005781436453518,0.5040120478077383,0.5065493450654934,2.497670143696119e-05,-4.622552841392677,1.984409326232274e-06,9.999000099990002e-05,-0.01610238292057116,0.2615853826844486,0.2842256755565425,5.4596041164442115e-06,0.0004654350582257792,1.0,1.0,1.0556640361894028e-05,0.0006205800776343723
ins,2647,0.5774857538968896,0.6463262151553878,0.5772153540204555,0.6600608486130756,0.0023839447708630165,0.00328333300156494,0.0010296315203631465,0.99,0.99,0.7,-3.2334545352393103,0.0006190330338574524,0.00039996000399960006,-0.013734633457687809,-7.798519062657064,4.4687721057733e-15,9.999000099990002e-05,-0.08284549459262013,0.09572264477157623,0.5381259479082285,0.5344465553444655,0.00027039987643410584,-7.427243702960714,7.437738980015713e-14,9.999000099990002e-05,-0.06884046125849823,0.005140860545361229,0.003723480465806234,5.5470165268502887e-14,0.0004654350582257792,1.0,1.0,1.3848522614717137e-12,0.0006205800776343723
dep,2702,0.1847866253572972,0.1871852166560922,0.18567491146341114,0.18840309112291673,0.006129287714974643,0.0071378843513825365,0.006762456419941996,0.95,0.99,0.99,-1.9803557073025273,0.023882445129674926,0.025297470252974703,-0.0012178744668245626,-4.039807394894841,2.7493434207775505e-05,0.00019998000199980003,-0.0027281796595055923,-1.5798358149379004,0.05713078156035709,0.055594440555944404,-0.0008882861061139352,-3.8534392335900245,5.959096532253667e-05,0.00019998000199980003,-0.002398591298794965,0.11333465783731392,0.13457722254985385,0.00012797687792137755,0.0007446960931612467,0.42549324334229244,0.4140510277976531,0.00027738497987066707,0.0008274401035124964
anx,2700,0.1860773630757582,0.18807472492842026,0.186016657536533,0.1886326795323217,0.007335981983724573,0.03359557831694002,0.004826586282581782,0.99,0.3,0.99,-1.20160258106787,0.11481148271870446,0.11018898110188981,-0.0005579546039014949,-3.9271809413412786,4.404998245031622e-05,9.999000099990002e-05,-0.002616021995788712,0.12769355375770214,0.5507994977454927,0.5522447755224478,6.070553922521164e-05,-3.7380688357726393,9.464441481741787e-05,0.00019998000199980003,-0.001997361852662005,0.3774636619219038,0.4103275473318469,0.0001822618345530857,0.0004654350582257792,1.0,1.0,0.00039160207825921607,0.0008274401035124964
ang,2698,0.3510155468767372,0.3583095977093435,0.3517098911736517,0.3583095977093435,0.0064822427391355575,0.23058093915704067,0.007453003935187263,0.1,0.1,0.1,,,1.0,0.0,-3.6348110584445976,0.00014169140488413202,0.00029997000299970003,-0.006599706535691775,-0.5373353074269547,0.2955401747623747,0.293970602939706,-0.0006943442969145515,-3.297183932861243,0.0004946303599196135,0.0008999100089991,-0.007294050832606328,,1.0,0.0004796708516150303,0.001015494672492609,1.0,1.0,0.0018419306576036825,0.0033511324192256097
